Airport.Code,Airport.Name,Time.Month,Time.Month Name,Time.Year,Statistics.# of Delays.Carrier,Statistics.# of Delays.Late Aircraft,Statistics.# of Delays.National Aviation System,Statistics.# of Delays.Security,Statistics.# of Delays.Weather,Statistics.Carriers.Names,Statistics.Carriers.Total,Statistics.Flights.Cancelled,Statistics.Flights.Delayed,Statistics.Flights.Diverted,Statistics.Flights.On Time,Statistics.Flights.Total,Statistics.Minutes Delayed.Carrier,Statistics.Minutes Delayed.Late Aircraft,Statistics.Minutes Delayed.National Aviation System,Statistics.Minutes Delayed.Security,Statistics.Minutes Delayed.Total,Statistics.Minutes Delayed.Weather
PHL,"Philadelphia, PA: Philadelphia International",3,March,2015,343,334,559,4,27,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,Spirit Air Lines,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",10,262,1264,31,4446,6003,19627,24002,27257,148,74193,3159
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",3,March,2015,696,852,694,4,43,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,Hawaiian Airlines Inc.,Spirit Air Lines,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",11,105,2290,26,12102,14523,38713,45833,23985,311,113335,4493
SAN,"San Diego, CA: San Diego International",3,March,2015,386,441,187,0,23,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,Hawaiian Airlines Inc.,Spirit Air Lines,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.",12,67,1039,35,5448,6589,22163,23863,7187,3,55507,2291
SEA,"Seattle, WA: Seattle/Tacoma International",3,March,2015,402,532,337,1,40,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,Hawaiian Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.",11,24,1313,18,7911,9266,24774,33153,12000,52,73957,3978
SFO,"San Francisco, CA: San Francisco International",3,March,2015,653,825,864,0,82,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,Hawaiian Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.",11,175,2421,37,10798,13431,41702,58215,40798,17,145963,5231
SLC,"Salt Lake City, UT: Salt Lake City International",3,March,2015,373,461,269,0,29,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",10,32,1135,2,8306,9475,26833,26848,10905,0,67796,3210
TPA,"Tampa, FL: Tampa International",3,March,2015,494,476,313,2,26,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,Spirit Air Lines,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",9,86,1310,7,5452,6855,28284,32465,12618,64,76058,2627
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",4,April,2015,1201,1566,1447,3,139,"American Airlines Inc.,Alaska Airlines Inc.,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,Envoy Air,Spirit Air Lines,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",11,113,4356,76,26838,31383,94652,92755,59912,152,259165,11694
BOS,"Boston, MA: Logan International",4,April,2015,525,639,677,0,54,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Spirit Air Lines,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.",11,68,1895,10,8032,10005,27590,38753,29781,10,99710,3576
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",4,April,2015,306,511,195,1,47,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Envoy Air,Spirit Air Lines,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",10,45,1059,9,6774,7887,17870,28404,7393,24,56374,2683
CLT,"Charlotte, NC: Charlotte Douglas International",4,April,2015,404,407,527,1,39,"American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,SkyWest Airlines Inc.,US Airways Inc.,Southwest Airlines Co.",8,63,1376,14,7430,8883,22232,20809,18653,24,64053,2335
DCA,"Washington, DC: Ronald Reagan Washington National",4,April,2015,341,333,315,1,46,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,Envoy Air,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.",12,57,1036,8,5744,6845,17710,19309,10557,26,50216,2614
DEN,"Denver, CO: Denver International",4,April,2015,824,1116,995,1,87,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,Spirit Air Lines,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",11,154,3024,74,14220,17472,54192,73960,37869,41,171016,4954
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",4,April,2015,1096,1415,2026,8,273,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,Envoy Air,Spirit Air Lines,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.",11,376,4816,276,16398,21866,95804,115306,94214,298,331213,25591
DTW,"Detroit, MI: Detroit Metro Wayne County",4,April,2015,422,524,407,1,36,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,Envoy Air,Spirit Air Lines,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",12,45,1387,7,8557,9996,32085,34952,15009,31,86356,4279
EWR,"Newark, NJ: Newark Liberty International",4,April,2015,409,530,592,1,47,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.",9,127,1582,17,7638,9364,23706,37275,30736,20,95113,3376
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",4,April,2015,366,418,337,4,30,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,Spirit Air Lines,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.",10,29,1156,21,5772,6978,22184,29093,13285,149,66912,2201
IAD,"Washington, DC: Washington Dulles International",4,April,2015,165,171,83,0,19,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,Virgin America,Southwest Airlines Co.",10,23,438,0,2494,2955,8500,11538,2997,9,24850,1806
JFK,"New York, NY: John F. Kennedy International",4,April,2015,402,474,1055,2,33,"American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Hawaiian Airlines Inc.,Envoy Air,United Air Lines Inc.,US Airways Inc.,Virgin America",8,101,1967,19,6509,8596,27820,38552,76160,151,145579,2896
LAS,"Las Vegas, NV: McCarran International",4,April,2015,605,868,685,3,49,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,Hawaiian Airlines Inc.,Spirit Air Lines,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.",12,35,2211,11,9854,12111,34520,49462,25877,186,113870,3825
LAX,"Los Angeles, CA: Los Angeles International",4,April,2015,945,1064,1422,2,105,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,Hawaiian Airlines Inc.,Envoy Air,Spirit Air Lines,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.",13,109,3537,21,13749,17416,57404,64199,49646,60,178189,6880
LGA,"New York, NY: LaGuardia",4,April,2015,491,498,875,1,59,"American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,Envoy Air,Spirit Air Lines,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.",12,209,1925,53,7319,9506,29582,30163,44998,8,108155,3404
MCO,"Orlando, FL: Orlando International",4,April,2015,609,601,515,2,33,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,Spirit Air Lines,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.",11,44,1757,24,8655,10480,37813,39599,18879,110,98873,2472
MDW,"Chicago, IL: Chicago Midway International",4,April,2015,302,459,280,0,59,"Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,Southwest Airlines Co.",4,65,1101,43,6235,7444,18042,25165,11739,2,59423,4475
MIA,"Miami, FL: Miami International",4,April,2015,343,309,402,1,28,"American Airlines Inc.,Delta Air Lines Inc.,Frontier Airlines Inc.,Envoy Air,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.",7,34,1084,8,5338,6464,20873,24624,14022,13,61875,2343
MSP,"Minneapolis, MN: Minneapolis-St Paul International",4,April,2015,440,455,592,1,41,"American Airlines Inc.,Alaska Airlines Inc.,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,Spirit Air Lines,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",10,38,1526,23,8426,10013,30957,26259,18586,17,79842,4023
ORD,"Chicago, IL: Chicago O'Hare International",4,April,2015,956,1335,1929,5,139,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,Envoy Air,Spirit Air Lines,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America",12,583,4364,70,20828,25845,72450,95109,125396,197,307578,14426
PDX,"Portland, OR: Portland International",4,April,2015,180,241,104,2,9,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,Hawaiian Airlines Inc.,Spirit Air Lines,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.",12,17,532,1,3325,3875,8928,14275,3895,244,27733,391
PHL,"Philadelphia, PA: Philadelphia International",4,April,2015,314,297,472,3,33,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,Spirit Air Lines,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",10,23,1120,13,4682,5838,17601,18155,19095,79,57448,2518
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",4,April,2015,644,835,820,3,38,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,Hawaiian Airlines Inc.,Spirit Air Lines,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",11,85,2341,6,11311,13743,35509,46718,24029,126,108761,2379
SAN,"San Diego, CA: San Diego International",4,April,2015,375,488,289,2,22,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,Hawaiian Airlines Inc.,Spirit Air Lines,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.",12,43,1176,6,5197,6422,20492,26391,9693,66,58236,1594
SEA,"Seattle, WA: Seattle/Tacoma International",4,April,2015,396,420,273,0,31,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,Hawaiian Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.",11,49,1119,6,8080,9254,23875,26181,8046,4,60061,1955
SFO,"San Francisco, CA: San Francisco International",4,April,2015,613,807,1000,1,73,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,Hawaiian Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.",11,124,2496,15,10380,13015,37200,53341,50222,41,144693,3889
SLC,"Salt Lake City, UT: Salt Lake City International",4,April,2015,333,431,247,1,33,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",10,52,1042,26,7725,8845,24619,24607,8365,18,59644,2035
TPA,"Tampa, FL: Tampa International",4,April,2015,339,362,221,1,21,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,Spirit Air Lines,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",9,18,943,10,5191,6162,19140,22836,8758,17,52257,1506
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",5,May,2015,1314,1536,1422,5,169,"American Airlines Inc.,Alaska Airlines Inc.,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,Envoy Air,Spirit Air Lines,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",11,154,4446,141,27684,32425,119902,110874,82449,148,330862,17489
BOS,"Boston, MA: Logan International",5,May,2015,540,654,611,2,71,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Spirit Air Lines,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.",11,79,1878,17,8269,10243,30455,46777,31724,120,115119,6043
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",5,May,2015,382,571,232,1,47,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Envoy Air,Spirit Air Lines,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",10,65,1229,33,6852,8179,21121,36548,9779,54,70281,2779
CLT,"Charlotte, NC: Charlotte Douglas International",5,May,2015,360,346,393,1,36,"American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",9,57,1137,15,8017,9226,18773,21499,13102,67,56697,3256
DCA,"Washington, DC: Ronald Reagan Washington National",5,May,2015,385,415,447,3,59,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,Envoy Air,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.",12,85,1310,9,5544,6948,21100,27464,18662,113,71254,3915
DEN,"Denver, CO: Denver International",5,May,2015,906,1231,1214,5,124,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,Spirit Air Lines,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",11,129,3480,84,14379,18072,57723,80777,48281,205,196031,9045
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",5,May,2015,1139,1704,1860,7,286,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,Envoy Air,Spirit Air Lines,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.",11,839,4997,230,16097,22163,108093,132272,92808,410,370503,36920
DTW,"Detroit, MI: Detroit Metro Wayne County",5,May,2015,487,629,416,3,49,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,Envoy Air,Spirit Air Lines,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",12,52,1584,10,8803,10449,37258,43504,21638,88,107304,4816
EWR,"Newark, NJ: Newark Liberty International",5,May,2015,413,566,539,1,56,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.",9,123,1573,44,7523,9263,27875,40692,39231,25,113050,5227
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",5,May,2015,388,437,254,6,35,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,Spirit Air Lines,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.",10,41,1120,3,5348,6512,21386,32618,11571,218,68355,2562
IAD,"Washington, DC: Washington Dulles International",5,May,2015,191,195,132,0,26,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,Virgin America,Southwest Airlines Co.",10,19,548,3,2674,3244,10854,15248,5912,0,33715,1701
JFK,"New York, NY: John F. Kennedy International",5,May,2015,332,386,792,1,41,"American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Hawaiian Airlines Inc.,Envoy Air,United Air Lines Inc.,US Airways Inc.,Virgin America",8,84,1551,21,7222,8878,24663,31043,62091,26,121386,3563
LAS,"Las Vegas, NV: McCarran International",5,May,2015,641,1075,570,6,76,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,Hawaiian Airlines Inc.,Spirit Air Lines,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.",12,71,2367,9,10297,12744,34397,63893,23211,288,128283,6494
LAX,"Los Angeles, CA: Los Angeles International",5,May,2015,1045,1209,1253,6,141,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,Hawaiian Airlines Inc.,Spirit Air Lines,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.",12,108,3654,13,14203,17978,59050,76775,43589,214,190649,11021
LGA,"New York, NY: LaGuardia",5,May,2015,449,532,909,4,78,"American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,Envoy Air,Spirit Air Lines,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.",12,278,1970,96,7080,9424,31517,37051,73619,123,148735,6425
MCO,"Orlando, FL: Orlando International",5,May,2015,643,626,375,2,46,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,Spirit Air Lines,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.",11,60,1695,10,8625,10390,40397,42755,14675,121,101334,3386
MDW,"Chicago, IL: Chicago Midway International",5,May,2015,351,546,292,2,100,"Delta Air Lines Inc.,ExpressJet Airlines Inc.,Southwest Airlines Co.",3,88,1289,32,6182,7591,19332,34376,12346,48,76163,10061
MIA,"Miami, FL: Miami International",5,May,2015,374,348,436,2,44,"American Airlines Inc.,Delta Air Lines Inc.,Frontier Airlines Inc.,Envoy Air,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.",7,28,1205,6,5101,6340,30029,25960,14411,75,74867,4392
MSP,"Minneapolis, MN: Minneapolis-St Paul International",5,May,2015,458,525,567,1,51,"American Airlines Inc.,Alaska Airlines Inc.,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,Envoy Air,Spirit Air Lines,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",11,54,1602,10,8815,10481,35005,35990,21079,16,96216,4126
ORD,"Chicago, IL: Chicago O'Hare International",5,May,2015,1095,1687,1839,3,162,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,Envoy Air,Spirit Air Lines,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America",12,336,4789,47,21737,26909,83599,121084,85605,181,304479,14010
PDX,"Portland, OR: Portland International",5,May,2015,208,264,70,2,16,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,Hawaiian Airlines Inc.,Spirit Air Lines,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.",12,24,560,4,3575,4163,10754,15172,2905,65,30578,1682
PHL,"Philadelphia, PA: Philadelphia International",5,May,2015,337,325,489,2,45,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,Spirit Air Lines,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",10,53,1194,25,4906,6178,20107,21895,24470,42,70189,3675
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",5,May,2015,663,853,557,7,58,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,Hawaiian Airlines Inc.,Spirit Air Lines,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",11,85,2137,4,11575,13801,38505,49980,18029,263,111417,4640
SAN,"San Diego, CA: San Diego International",5,May,2015,412,552,249,0,49,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,Hawaiian Airlines Inc.,Spirit Air Lines,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.",12,62,1266,12,5255,6595,21133,29773,8589,0,63201,3706
SEA,"Seattle, WA: Seattle/Tacoma International",5,May,2015,431,535,329,4,42,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,Hawaiian Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.",11,36,1340,13,8952,10341,23101,29657,9911,174,65957,3114
SFO,"San Francisco, CA: San Francisco International",5,May,2015,636,1033,1960,3,120,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,Hawaiian Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.",11,150,3753,9,9608,13520,43919,68937,101881,122,223817,8958
SLC,"Salt Lake City, UT: Salt Lake City International",5,May,2015,292,391,210,1,27,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",9,31,921,5,7800,8757,19404,22610,7521,74,52548,2939
TPA,"Tampa, FL: Tampa International",5,May,2015,313,355,268,3,48,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,Frontier Airlines Inc.,Spirit Air Lines,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",9,30,990,43,4875,5938,18137,25507,11551,157,60607,5255
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",6,June,2015,1748,2300,1803,8,172,"American Airlines Inc.,Alaska Airlines Inc.,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,Envoy Air,Spirit Air Lines,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",11,298,6031,197,26213,32739,148949,164521,98579,516,429830,17265
BOS,"Boston, MA: Logan International",6,June,2015,701,910,777,0,99,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Spirit Air Lines,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.",11,138,2488,7,7911,10544,41994,64214,40434,29,154535,7864
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",6,June,2015,541,827,585,2,138,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Envoy Air,Spirit Air Lines,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",10,226,2094,85,6014,8419,32245,55718,30638,45,131077,12431
CLT,"Charlotte, NC: Charlotte Douglas International",6,June,2015,443,514,607,5,63,"American Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,SkyWest Airlines Inc.,US Airways Inc.,Southwest Airlines Co.",8,88,1632,12,7288,9020,27710,31850,23600,195,89263,5908
DCA,"Washington, DC: Ronald Reagan Washington National",6,June,2015,431,470,560,1,84,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,Envoy Air,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Virgin America,Southwest Airlines Co.",12,169,1547,49,4934,6699,25055,35329,33559,94,101002,6965
DEN,"Denver, CO: Denver International",6,June,2015,1251,1847,1468,5,204,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,Spirit Air Lines,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",11,236,4773,165,13510,18684,88084,137815,74727,281,319132,18225
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",6,June,2015,1364,1921,1441,8,229,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,Envoy Air,Spirit Air Lines,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.",11,397,4961,136,17081,22575,128370,150285,69531,349,370575,22040
DTW,"Detroit, MI: Detroit Metro Wayne County",6,June,2015,626,772,818,1,77,"American Airlines Inc.,Alaska Airlines Inc.,JetBlue Airways,Delta Air Lines Inc.,ExpressJet Airlines Inc.,Frontier Airlines Inc.,Envoy Air,Spirit Air Lines,SkyWest Airlines Inc.,United Air Lines Inc.,US Airways Inc.,Southwest Airlines Co.",12,109,2297,17,7401,9824,47971,59255,37181,20,151680,7253
